Unnamed: 0,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
星野,5,3,0,60.0,60.0,0,17,8,5,5,0,0,1.0,5,0.2,61.8,東レアローズ
小澤,23,16,0,69.6,69.6,1,10,3,1,16,2,6,4.0,13,0.31,35.0,東レアローズ
富松,14,8,1,57.1,50.0,3,2,2,0,8,0,1,0.0,8,0.0,100.0,東レアローズ
李,16,13,0,81.2,81.2,2,4,3,1,13,0,0,2.0,10,0.2,87.5,東レアローズ
藤井,0,0,0,,,0,0,0,0,21,0,0,8.0,17,0.47,,東レアローズ
酒井,1,1,0,100.0,100.0,2,0,0,0,8,0,0,2.0,6,0.33,,東レアローズ
峯村,0,0,0,,,0,2,0,2,14,2,3,4.0,9,0.44,50.0,東レアローズ
鈴木,1,1,0,100.0,100.0,1,0,0,0,32,2,6,7.0,26,0.27,,東レアローズ
米山,4,0,0,0.0,0.0,0,7,4,2,8,0,1,2.0,6,0.33,71.4,東レアローズ
高橋,14,6,2,42.9,28.6,3,1,0,1,4,0,2,0.0,4,0.0,50.0,東レアローズ
パダル,95,55,7,57.9,50.5,2,0,0,0,36,2,13,8.0,29,0.28,,東レアローズ
落合,0,0,0,,,0,0,0,0,1,0,1,0.0,1,0.0,,東レアローズ
梅野,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,東レアローズ
山崎,0,0,0,,,0,1,1,0,0,0,0,0.0,0,,100.0,ウルフドッグス名古屋
近,12,5,1,41.7,33.3,2,1,0,1,23,1,2,7.0,15,0.47,50.0,ウルフドッグス名古屋
山近,12,8,0,66.7,66.7,1,1,0,1,21,1,4,7.0,18,0.39,50.0,ウルフドッグス名古屋
山田,15,7,2,46.7,33.3,1,43,16,10,33,1,6,6.0,26,0.23,48.8,ウルフドッグス名古屋
小川,0,0,0,,,0,54,33,11,0,0,0,0.0,0,,71.3,ウルフドッグス名古屋
高梨,61,27,3,44.3,39.3,5,58,21,15,16,0,4,1.0,14,0.07,49.1,ウルフドッグス名古屋
前田,1,0,0,0.0,0.0,3,1,0,0,22,0,0,5.0,21,0.24,0.0,ウルフドッグス名古屋
永露,0,0,0,,,0,0,0,0,14,0,4,6.0,7,0.86,,ウルフドッグス名古屋
クレク,128,74,10,57.8,50.0,6,0,0,0,37,6,13,9.0,23,0.39,,ウルフドッグス名古屋
川口,0,0,0,,,0,2,1,1,0,0,0,0.0,0,,75.0,ウルフドッグス名古屋
白岩,1,1,0,100.0,100.0,0,7,5,2,2,0,0,0.0,2,0.0,85.7,ウルフドッグス名古屋
椿山,3,3,0,100.0,100.0,0,0,0,0,3,0,2,1.0,2,0.5,,ウルフドッグス名古屋
傳田,2,1,0,50.0,50.0,1,0,0,0,5,0,1,0.0,5,0.0,,ウルフドッグス名古屋
ボンウ,0,0,0,,,0,0,0,0,1,0,0,0.0,1,0.0,,ウルフドッグス名古屋
神谷,0,0,0,,,0,0,0,0,4,0,1,0.0,4,0.0,,ウルフドッグス名古屋
勝岡,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,ウルフドッグス名古屋
栗山,35,23,2,65.7,60.0,9,0,0,0,21,0,0,7.0,16,0.44,,FC東京
迫田,48,13,4,27.1,18.8,2,81,31,27,22,1,3,4.0,18,0.22,54.9,FC東京
佐藤,45,15,4,33.3,24.4,2,38,19,11,36,2,10,6.0,30,0.2,64.5,FC東京
長友,49,25,5,51.0,40.8,0,2,0,0,32,1,5,9.0,22,0.41,0.0,FC東京
