名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブ効果,サーブ効果率,サーブレシーブ成功率,チーム
澤田,0,0,0,,,0,1,0,0,12,0,0,5.0,7,0.71,7.0,14.6,0.0,NECレッドロケッツ
塚田,0,0,0,,,1,1,0,0,7,0,0,3.0,3,1.0,4.0,14.3,0.0,NECレッドロケッツ
山内,13,5,0,38.5,38.5,0,13,7,2,11,1,0,7.0,9,0.78,3.0,14.6,61.5,NECレッドロケッツ
柳田,6,3,0,50.0,50.0,0,0,0,0,5,0,0,0.0,5,0.0,4.0,20.0,,NECレッドロケッツ
古谷,9,2,0,22.2,22.2,0,4,1,1,4,0,0,1.0,4,0.25,0.0,0.0,37.5,NECレッドロケッツ
上野,10,3,0,30.0,30.0,0,2,0,1,14,0,0,6.0,5,1.2,11.0,19.6,25.0,NECレッドロケッツ
ネリマン,54,17,0,31.5,31.5,2,0,0,0,18,1,0,7.0,11,0.64,9.0,17.1,,NECレッドロケッツ
野嶋,0,0,0,,,0,0,0,0,8,0,0,2.0,6,0.33,5.0,15.6,,NECレッドロケッツ
吉田,5,3,0,60.0,60.0,0,7,1,2,1,0,0,0.0,1,0.0,1.0,25.0,28.6,NECレッドロケッツ
川上,0,0,0,,,0,0,0,0,1,0,0,2.0,1,2.0,1.0,25.0,,NECレッドロケッツ
オクム大庭,57,15,5,26.3,17.5,3,0,0,0,6,0,0,0.0,6,0.0,1.0,4.2,,日立リヴァーレ
長内,60,21,2,35.0,31.7,1,9,5,3,20,3,3,4.0,11,0.36,8.0,21.2,72.2,日立リヴァーレ
窪田,5,2,0,40.0,40.0,0,26,15,5,9,0,0,4.0,6,0.67,7.0,19.4,67.3,日立リヴァーレ
入澤,9,3,1,33.3,22.2,0,1,0,0,7,0,1,3.0,4,0.75,3.0,8.3,0.0,日立リヴァーレ
タップ,31,16,2,51.6,45.2,6,2,1,1,7,0,0,0.0,7,0.0,5.0,17.9,75.0,日立リヴァーレ
雑賀,1,0,0,0.0,0.0,0,0,0,0,12,0,1,4.0,7,0.57,6.0,11.4,,日立リヴァーレ
小池,0,0,0,,,0,7,3,2,0,0,0,0.0,0,,0.0,,57.1,日立リヴァーレ
佐藤,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,日立リヴァーレ
野中,13,2,1,15.4,7.7,1,33,16,7,35,3,2,13.0,18,0.72,20.0,21.4,59.1,日立リヴァーレ
上坂,86,26,5,30.2,24.4,0,34,19,3,27,0,1,7.0,19,0.37,13.0,11.5,60.3,日立リヴァーレ
境,0,0,0,,,0,0,0,0,15,0,0,6.0,9,0.67,8.0,13.3,,日立リヴァーレ
齋藤,0,0,0,,,0,23,12,3,2,0,0,0.0,0,,1.0,12.5,58.7,日立リヴァーレ
小野寺,1,0,0,0.0,0.0,0,0,0,0,12,0,0,4.0,10,0.4,6.0,12.5,,日立リヴァーレ
堀井,3,2,0,66.7,66.7,1,1,1,0,7,0,1,1.0,5,0.2,1.0,0.0,100.0,日立リヴァーレ
芳賀,0,0,0,,,0,0,0,0,4,0,0,2.0,2,1.0,3.0,18.8,,日立リヴァーレ
中村,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,日立リヴァーレ
舛田,51,16,3,31.4,25.5,1,39,18,9,23,1,3,4.0,9,0.44,10.0,13.8,57.7,KUROBEアクアフェアリーズ
リー,62,34,2,54.8,51.6,3,0,0,0,18,0,4,3.0,12,0.25,7.0,5.4,,KUROBEアクアフェアリーズ
細沼,5,2,0,40.0,40.0,3,0,0,0,9,0,1,2.0,5,0.4,4.0,9.4,,KUROBEアクアフェアリーズ
立石,0,0,0,,,0,18,11,5,0,0,0,0.0,0,,0.0,,75.0,KUROBEアクアフェアリーズ
間橋,26,12,1,46.2,42.3,1,25,12,5,11,0,0,2.0,9,0.22,4.0,9.1,58.0,KUROBEアクアフェアリーズ
小杉,2,0,0,0.0,0.0,2,0,0,0,10,1,2,3.0,4,0.75,2.0,12.5,,KUROBEアクアフェアリーズ
小西,1,0,0,0.0,0.0,0,0,0,0,20,1,1,6.0,13,0.46,10.0,16.2,,KUROBEアクアフェアリーズ
丸山,0,0,0,,,0,5,1,2,6,0,1,0.0,5,0.0,4.0,15.0,40.0,KUROBEアクアフェアリーズ
杉原,3,2,0,66.7,66.7,0,0,0,0,8,0,0,0.0,7,0.0,4.0,12.5,,KUROBEアクアフェアリーズ
梅津,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,,0.0,,,KUROBEアクアフェアリーズ
浮島,16,5,1,31.2,25.0,0,0,0,0,0,0,0,0.0,0,,0.0,,,KUROBEアクアフェアリーズ
星加,1,1,0,100.0,100.0,0,0,0,0,3,0,0,1.0,2,0.5,2.0,16.7,,KUROBEアクアフェアリーズ
馬場,0,0,0,,,0,6,0,3,0,0,0,0.0,0,,0.0,,25.0,KUROBEアクアフェアリーズ
戸部,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,KUROBEアクアフェアリーズ
道下,6,2,0,33.3,33.3,0,0,0,0,7,0,0,2.0,5,0.4,5.0,17.9,,KUROBEアクアフェアリーズ
山城,1,0,0,0.0,0.0,1,3,2,1,5,0,0,0.0,3,0.0,2.0,10.0,83.3,KUROBEアクアフェアリーズ
