名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
島田美紅,KUROBEアクアフェアリーズ,7,2,2,1,0,50.0,50.0,0,0,0,0,5,1,0,2,0,0,0,,0.5,0.0,30.0,
島畑奈緒子,PFUブルーキャッツ,14,46,5,2,0,40.0,40.0,0,0,0,1,64,2,12,20,0,0,0,,0.04,0.02,6.2,
川上雛菜,NECレッドロケッツ,17,9,0,0,0,,,0,0,0,0,15,0,0,3,0,0,0,,0.0,0.0,5.0,
川島亜依美,岡山シーガルズ,28,57,177,75,6,42.4,39.0,1,0,0,19,181,3,9,57,8,5,0,0.0,1.32,0.33,8.3,62.5
工藤嶺,デンソーエアリービーズ,21,68,545,194,37,35.6,28.8,144,48,12,15,211,7,9,64,180,78,43,33.3,2.85,0.22,9.8,55.3
平山詩嫣,久光スプリングス,19,7,0,0,0,,,0,0,0,0,10,1,0,4,0,0,0,,0.0,0.0,20.0,
座安琴希,久光スプリングス,10,60,0,0,0,,,0,0,0,0,1,0,0,0,62,36,17,,0.0,0.0,0.0,71.8
廣瀬七海,NECレッドロケッツ,9,13,52,17,3,32.7,26.9,3,1,0,3,17,1,2,6,2,1,1,33.3,1.31,0.23,11.8,75.0
志摩美古都,PFUブルーキャッツ,35,13,75,29,2,38.7,36.0,1,0,0,2,34,0,4,4,35,17,10,0.0,2.23,0.15,0.0,62.9
戸江真奈,久光スプリングス,18,79,0,0,0,,,0,0,0,0,0,0,0,0,331,195,61,,0.0,0.0,,68.1
戸部真由香,KUROBEアクアフェアリーズ,20,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
星加輝,KUROBEアクアフェアリーズ,16,30,2,1,0,50.0,50.0,0,0,0,0,41,0,3,11,0,0,0,,0.03,0.0,4.9,
曽我啓菜,NECレッドロケッツ,5,52,350,141,22,40.3,34.0,17,4,0,11,149,3,11,39,279,97,68,23.5,2.71,0.21,6.7,47.0
有田妃奈乃,PFUブルーキャッツ,1,5,5,2,1,40.0,20.0,0,0,0,0,5,1,1,2,0,0,0,,0.4,0.0,25.0,
杉原若葉,KUROBEアクアフェアリーズ,11,56,148,49,11,33.1,25.7,0,0,0,27,163,5,14,46,0,0,0,,0.88,0.48,8.0,
杉郁香,トヨタ車体クインシーズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
村上華澄,PFUブルーキャッツ,6,57,207,76,12,36.7,30.9,0,0,0,14,171,7,5,45,10,1,4,,1.33,0.25,9.9,30.0
村永奈央,トヨタ車体クインシーズ,6,33,100,16,0,16.0,16.0,0,0,0,4,35,2,2,11,152,56,34,,0.48,0.12,12.1,48.0
東谷玲衣奈,デンソーエアリービーズ,20,46,233,92,12,39.5,34.3,14,1,2,8,59,0,7,16,163,72,34,7.1,2.0,0.17,3.8,54.6
松井珠己,デンソーエアリービーズ,14,38,12,5,0,41.7,41.7,0,0,0,2,54,2,1,11,0,0,0,,0.13,0.05,8.3,
松本亜弥華,トヨタ車体クインシーズ,14,19,40,15,3,37.5,30.0,0,0,0,5,24,1,0,3,2,0,0,,0.79,0.26,7.3,0.0
松本愛希穂,ヴィクトリーナ姫路,15,74,681,229,44,33.6,27.2,29,7,8,13,257,16,21,77,691,345,151,24.1,3.09,0.18,11.7,60.9
林琴奈,JTマーヴェラス,2,73,672,256,36,38.1,32.7,77,30,8,37,270,6,14,72,505,259,116,39.0,3.51,0.51,7.6,62.8
柳田光綺,NECレッドロケッツ,4,18,54,14,4,25.9,18.5,2,0,1,1,34,0,4,6,0,0,0,0.0,0.78,0.06,1.5,
柴田真果,JTマーヴェラス,5,72,7,4,0,57.1,57.1,1,0,0,0,122,6,1,42,0,0,0,0.0,0.06,0.0,13.3,
栄絵里香,久光スプリングス,11,27,2,0,0,0.0,0.0,0,0,0,2,60,3,1,11,1,0,0,,0.0,0.07,9.2,0.0
梅津憂理,KUROBEアクアフェアリーズ,13,17,91,21,6,23.1,16.5,4,2,0,2,39,0,1,11,94,19,29,50.0,1.24,0.12,6.4,35.6
森田茉莉,PFUブルーキャッツ,3,36,0,0,0,,,0,0,0,0,0,0,0,0,113,46,30,,0.0,0.0,,54.0
森谷史佳,デンソーエアリービーズ,10,33,47,14,0,29.8,29.8,0,0,0,0,89,5,5,26,1,0,0,,0.42,0.0,11.5,0.0
椎名真子,埼玉上尾メディックス,14,12,55,16,1,29.1,27.3,2,0,0,1,22,0,7,4,23,9,4,0.0,1.33,0.08,-3.4,47.8
楢崎慈恵,岡山シーガルズ,27,53,0,0,0,,,0,0,0,0,2,0,1,0,179,91,38,,0.0,0.0,-12.5,61.5
榊原美沙都,トヨタ車体クインシーズ,8,37,0,0,0,,,0,0,0,0,0,0,0,0,157,76,40,,0.0,0.0,,61.1
榊原菜那,JTマーヴェラス,9,17,38,17,2,44.7,39.5,0,0,0,3,78,0,3,26,0,0,0,,1.0,0.18,7.4,
権田寛奈,埼玉上尾メディックス,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
横田真未,デンソーエアリービーズ,16,65,261,117,8,44.8,41.8,0,0,0,26,211,10,24,69,11,7,1,,1.8,0.4,10.1,68.2
橋本梨紗,JTマーヴェラス,18,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0,
橘井友香,JTマーヴェラス,4,69,218,74,11,33.9,28.9,1,0,0,5,88,9,10,37,10,5,2,0.0,1.07,0.07,17.9,60.0
櫻井美樹,ヴィクトリーナ姫路,2,82,19,8,0,42.1,42.1,0,0,0,2,222,4,10,58,1,0,0,,0.1,0.02,7.2,0.0
水杉玲奈,東レアローズ,11,48,0,0,0,,,0,0,0,0,0,0,0,0,184,94,43,,0.0,0.0,,62.8
池谷優佳,久光スプリングス,15,4,0,0,0,,,0,0,0,0,0,0,0,0,12,5,3,,0.0,0.0,,54.2
津賀菜緒,PFUブルーキャッツ,13,39,196,53,14,27.0,19.9,17,4,3,4,51,0,11,12,0,0,0,23.5,1.36,0.1,0.5,
浮島杏加子,KUROBEアクアフェアリーズ,12,34,159,64,9,40.3,34.6,8,2,1,2,25,1,5,3,1,0,0,25.0,1.88,0.06,2.0,0.0
深萱知代,JTマーヴェラス,12,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
渡邊彩,トヨタ車体クインシーズ,7,67,285,111,10,38.9,35.4,1,0,0,19,181,8,7,56,11,4,4,0.0,1.66,0.28,11.2,54.5
渡邊真恵,岡山シーガルズ,6,75,600,228,32,38.0,32.7,35,8,3,11,263,12,11,59,56,28,7,22.9,3.04,0.15,9.1,56.2
溝口由利香,ヴィクトリーナ姫路,18,11,0,0,0,,,0,0,0,0,0,0,0,0,24,8,4,,0.0,0.0,,41.7
澤田由佳,NECレッドロケッツ,10,63,5,2,0,40.0,40.0,0,0,0,3,201,4,7,56,4,0,0,,0.03,0.05,8.1,0.0
濱松明日香,久光スプリングス,17,18,72,29,5,40.3,33.3,0,0,0,6,45,1,5,17,2,1,0,,1.61,0.33,8.9,50.0
瀬戸杏華,PFUブルーキャッツ,2,12,26,6,2,23.1,15.4,0,0,0,4,27,1,6,9,3,1,0,,0.5,0.33,6.5,33.3
