名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
入澤まい,2020-12,日立リヴァーレ,14,6,16,4,0,25.0,25.0,0,0,0,7,20,1,1,6,3,1,1,,0.67,1.17,11.2,50.0
入澤まい,2021-01,日立リヴァーレ,14,13,44,17,4,38.6,29.5,0,0,0,9,50,6,6,24,6,0,3,,1.31,0.69,21.0,25.0
入澤まい,2021-02,日立リヴァーレ,14,14,51,21,2,41.2,37.3,0,0,0,9,43,2,11,12,3,2,0,,1.5,0.64,5.2,66.7
兵頭由希,2020-10,デンソーエアリービーズ,24,3,14,5,1,35.7,28.6,3,1,0,0,4,0,0,1,4,3,0,33.3,1.67,0.0,6.2,75.0
兵頭由希,2020-11,デンソーエアリービーズ,24,12,63,19,4,30.2,23.8,8,2,1,0,29,1,1,5,10,3,3,25.0,1.58,0.0,6.9,45.0
兵頭由希,2020-12,デンソーエアリービーズ,24,2,1,0,0,0.0,0.0,1,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0.0,-8.3,
兵頭由希,2021-01,デンソーエアリービーズ,24,3,2,0,1,0.0,-50.0,2,0,1,0,3,0,1,0,1,0,0,0.0,0.0,0.0,-8.3,0.0
兵頭由希,2021-02,デンソーエアリービーズ,24,12,14,7,0,50.0,50.0,0,0,0,0,18,1,1,4,2,1,1,,0.58,0.0,9.7,75.0
内瀬戸真実,2020-10,埼玉上尾メディックス,9,19,192,68,8,35.4,31.2,12,3,1,8,70,2,3,17,132,64,29,25.0,3.58,0.42,7.9,59.5
内瀬戸真実,2020-11,埼玉上尾メディックス,9,21,220,85,9,38.6,34.5,4,1,0,8,64,1,6,15,146,74,36,25.0,4.05,0.38,5.1,63.0
内瀬戸真実,2020-12,埼玉上尾メディックス,9,8,72,22,2,30.6,27.8,2,0,0,3,24,0,2,3,55,32,12,0.0,2.75,0.38,1.0,69.1
内瀬戸真実,2021-01,埼玉上尾メディックス,9,13,117,50,4,42.7,39.3,8,4,1,2,46,1,5,15,80,34,24,50.0,3.85,0.15,7.6,57.5
内瀬戸真実,2021-02,埼玉上尾メディックス,9,11,138,52,6,37.7,33.3,6,2,0,4,46,3,5,7,50,25,10,33.3,4.73,0.36,7.6,60.0
前田明里,2020-12,岡山シーガルズ,23,2,5,2,0,40.0,40.0,0,0,0,0,1,0,0,1,10,2,1,,1.0,0.0,25.0,25.0
加藤光,2020-10,久光スプリングス,7,14,0,0,0,,,0,0,0,0,21,0,0,5,0,0,0,,0.0,0.0,6.0,
加藤光,2020-11,久光スプリングス,7,15,0,0,0,,,0,0,0,0,25,1,1,4,0,0,0,,0.0,0.0,7.0,
加藤光,2020-12,久光スプリングス,7,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3,
加藤光,2021-01,久光スプリングス,7,17,0,0,0,,,0,0,0,0,24,1,1,9,0,0,0,,0.0,0.0,12.5,
原幸歩,2021-01,トヨタ車体クインシーズ,4,9,98,36,4,36.7,32.7,4,2,0,9,31,1,2,8,77,16,22,50.0,4.0,1.0,8.1,35.1
及川真夢,2020-10,岡山シーガルズ,8,10,37,18,1,48.6,45.9,0,0,0,6,25,0,3,5,1,1,0,,1.8,0.6,2.0,100.0
及川真夢,2020-11,岡山シーガルズ,8,19,97,46,4,47.4,43.3,0,0,0,12,56,2,3,14,5,3,1,,2.42,0.63,8.5,70.0
及川真夢,2020-12,岡山シーガルズ,8,5,26,7,2,26.9,19.2,0,0,0,1,21,0,0,2,11,10,1,,1.4,0.2,2.4,95.5
及川真夢,2021-01,岡山シーガルズ,8,9,37,16,1,43.2,40.5,0,0,0,4,28,1,0,5,1,1,0,,1.78,0.44,8.0,100.0
及川真夢,2021-02,岡山シーガルズ,8,12,80,26,3,32.5,28.7,0,0,0,5,43,1,1,12,1,0,1,,2.17,0.42,8.7,50.0
古川あおいアン,2020-10,岡山シーガルズ,15,5,14,5,0,35.7,35.7,0,0,0,0,3,0,0,0,3,1,0,,1.0,0.0,0.0,33.3
古川あおいアン,2020-11,岡山シーガルズ,15,10,58,21,1,36.2,34.5,4,0,0,2,16,1,0,3,17,7,3,0.0,2.1,0.2,10.9,50.0
古川あおいアン,2020-12,岡山シーガルズ,15,7,63,24,4,38.1,31.7,4,2,0,1,10,0,0,0,14,5,1,50.0,3.43,0.14,0.0,39.3
古川あおいアン,2021-01,岡山シーガルズ,15,7,56,21,5,37.5,28.6,2,0,1,0,8,0,0,1,12,3,2,0.0,3.0,0.0,3.1,33.3
古川あおいアン,2021-02,岡山シーガルズ,15,5,57,14,5,24.6,15.8,0,0,0,1,5,0,0,2,12,4,2,,2.8,0.2,10.0,41.7
古谷ちなみ,2020-10,NECレッドロケッツ,11,3,23,11,3,47.8,34.8,7,3,1,0,6,0,0,2,0,0,0,42.9,3.67,0.0,8.3,
古谷ちなみ,2020-11,NECレッドロケッツ,11,4,35,5,2,14.3,8.6,4,2,1,0,12,2,1,4,0,0,0,50.0,1.25,0.0,22.9,
古谷ちなみ,2020-12,NECレッドロケッツ,11,3,21,6,1,28.6,23.8,1,0,0,1,11,0,3,0,31,7,15,0.0,2.0,0.33,-6.8,46.8
古谷ちなみ,2021-01,NECレッドロケッツ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
古谷ちなみ,2021-02,NECレッドロケッツ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
古賀紗理那,2020-10,NECレッドロケッツ,2,14,141,57,9,40.4,34.0,15,4,3,2,61,2,5,27,115,66,28,26.7,4.07,0.14,12.3,69.6
古賀紗理那,2020-11,NECレッドロケッツ,2,25,250,112,10,44.8,40.8,29,13,1,13,98,3,5,41,132,60,27,44.8,4.48,0.52,12.2,55.7
古賀紗理那,2020-12,NECレッドロケッツ,2,7,65,26,1,40.0,38.5,13,3,0,2,34,2,3,13,18,9,3,23.1,3.71,0.29,13.2,58.3
古賀紗理那,2021-01,NECレッドロケッツ,2,17,192,82,6,42.7,39.6,30,8,2,6,85,6,6,28,119,64,30,26.7,4.82,0.35,13.5,66.4
古賀紗理那,2021-02,NECレッドロケッツ,2,10,94,38,6,40.4,34.0,17,4,4,8,41,3,2,13,60,31,14,23.5,3.8,0.8,14.0,63.3
合屋咲希,2020-10,PFUブルーキャッツ,7,8,34,14,0,41.2,41.2,0,0,0,0,2,0,1,0,22,5,5,,1.75,0.0,-12.5,34.1
合屋咲希,2020-11,PFUブルーキャッツ,7,22,47,8,5,17.0,6.4,0,0,0,0,7,0,2,1,43,14,11,,0.36,0.0,-3.6,45.3
合屋咲希,2020-12,PFUブルーキャッツ,7,4,10,2,1,20.0,10.0,0,0,0,0,4,0,2,0,1,0,1,,0.5,0.0,-12.5,50.0
合屋咲希,2021-01,PFUブルーキャッツ,7,2,7,3,0,42.9,42.9,0,0,0,0,1,0,0,0,0,0,0,,1.5,0.0,0.0,
合屋咲希,2021-02,PFUブルーキャッツ,7,1,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,,0.0,0.0,,33.3
吉岡可奈,2020-10,ヴィクトリーナ姫路,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
吉岡可奈,2020-11,ヴィクトリーナ姫路,9,1,4,0,0,0.0,0.0,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5,
吉岡可奈,2020-12,ヴィクトリーナ姫路,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉岡美晴,2020-10,岡山シーガルズ,4,14,169,56,6,33.1,29.6,0,0,0,3,41,0,2,7,98,52,17,,4.0,0.21,3.0,61.7
吉岡美晴,2020-11,岡山シーガルズ,4,26,297,81,11,27.3,23.6,0,0,0,3,78,1,1,13,224,106,46,,3.12,0.12,5.1,57.6
吉岡美晴,2020-12,岡山シーガルズ,4,5,41,18,1,43.9,41.5,0,0,0,1,13,0,1,1,28,17,4,,3.6,0.2,0.0,67.9
吉岡美晴,2021-01,岡山シーガルズ,4,16,182,55,9,30.2,25.3,0,0,0,0,48,2,5,8,85,36,18,,3.44,0.0,5.7,52.9
吉岡美晴,2021-02,岡山シーガルズ,4,8,80,25,5,31.2,25.0,0,0,0,0,16,1,1,2,53,18,10,,3.12,0.0,7.8,43.4
吉田あゆみ,2020-10,NECレッドロケッツ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉田あゆみ,2020-11,NECレッドロケッツ,15,3,13,7,1,53.8,46.2,0,0,0,0,9,0,0,1,24,6,5,,2.33,0.0,2.8,35.4
吉田あゆみ,2020-12,NECレッドロケッツ,15,2,8,4,0,50.0,50.0,0,0,0,0,2,0,0,0,15,3,3,,2.0,0.0,0.0,30.0
吉野優理,2020-10,埼玉上尾メディックス,8,19,195,60,13,30.8,24.1,10,3,1,2,71,5,4,23,170,65,40,30.0,3.16,0.11,13.7,50.0
吉野優理,2020-11,埼玉上尾メディックス,8,21,211,72,18,34.1,25.6,6,2,2,4,95,3,11,35,142,67,29,33.3,3.43,0.19,9.5,57.4
吉野優理,2020-12,埼玉上尾メディックス,8,8,78,25,3,32.1,28.2,2,1,0,0,42,1,4,11,63,46,6,50.0,3.12,0.0,6.5,77.8
吉野優理,2021-01,埼玉上尾メディックス,8,13,116,47,4,40.5,37.1,4,4,0,1,45,2,6,14,82,30,19,100.0,3.62,0.08,8.9,48.2
吉野優理,2021-02,埼玉上尾メディックス,8,11,104,41,6,39.4,33.7,8,2,2,2,44,2,4,18,75,29,23,25.0,3.73,0.18,12.5,54.0
和才奈々美,2020-10,PFUブルーキャッツ,33,4,14,2,1,14.3,7.1,1,0,0,0,7,0,2,1,21,12,3,0.0,0.5,0.0,-3.6,64.3
和才奈々美,2020-11,PFUブルーキャッツ,33,26,0,0,0,,,0,0,0,0,0,0,0,0,82,27,22,,0.0,0.0,,46.3
和才奈々美,2020-12,PFUブルーキャッツ,33,6,0,0,0,,,0,0,0,0,0,0,0,0,26,13,8,,0.0,0.0,,65.4
和才奈々美,2021-01,PFUブルーキャッツ,33,7,0,0,0,,,0,0,0,0,0,0,0,0,43,16,16,,0.0,0.0,,55.8
和才奈々美,2021-02,PFUブルーキャッツ,33,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
和田由紀子,2020-11,JTマーヴェラス,16,2,5,1,0,20.0,20.0,2,1,0,0,1,0,0,0,0,0,0,50.0,0.5,0.0,0.0,
和田由紀子,2020-12,JTマーヴェラス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
和田由紀子,2021-01,JTマーヴェラス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
和田由紀子,2021-02,JTマーヴェラス,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂本侑,2020-10,東レアローズ,15,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0,
坂本侑,2020-11,東レアローズ,15,2,0,0,0,,,0,0,0,0,3,0,1,0,0,0,0,,0.0,0.0,-8.3,
坂本侑,2020-12,東レアローズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂本侑,2021-01,東レアローズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
坂本侑,2021-02,東レアローズ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀井有蘭,2020-10,日立リヴァーレ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀井有蘭,2020-11,日立リヴァーレ,3,11,32,11,0,34.4,34.4,0,0,0,6,35,0,2,2,2,2,0,,1.0,0.55,0.0,100.0
堀井有蘭,2020-12,日立リヴァーレ,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
堀井有蘭,2021-01,日立リヴァーレ,3,5,2,0,0,0.0,0.0,0,0,0,0,2,0,0,0,11,7,2,,0.0,0.0,0.0,72.7
堀井有蘭,2021-02,日立リヴァーレ,3,4,0,0,0,,,0,0,0,0,1,0,1,0,4,0,1,,0.0,0.0,-25.0,12.5
堀口あやか,2020-10,PFUブルーキャッツ,11,7,60,18,0,30.0,30.0,5,0,0,0,24,1,6,4,45,18,10,0.0,2.57,0.0,2.1,51.1
堀口あやか,2020-11,PFUブルーキャッツ,11,28,218,64,9,29.4,25.2,16,3,0,4,79,5,14,28,36,14,13,18.8,2.29,0.14,10.8,56.9
堀口あやか,2020-12,PFUブルーキャッツ,11,6,37,7,1,18.9,16.2,1,0,0,0,15,0,5,3,0,0,0,0.0,1.17,0.0,-3.3,
堀口あやか,2021-01,PFUブルーキャッツ,11,6,45,12,1,26.7,24.4,4,0,1,0,17,1,4,4,21,8,5,0.0,2.0,0.0,5.9,50.0
堀口あやか,2021-02,PFUブルーキャッツ,11,3,24,11,0,45.8,45.8,0,0,0,0,11,1,0,5,11,5,2,,3.67,0.0,20.5,54.5
堀江美志,2020-10,埼玉上尾メディックス,4,16,75,20,4,26.7,21.3,11,1,0,0,39,4,3,15,20,6,5,9.1,1.25,0.0,17.9,42.5
堀江美志,2020-11,埼玉上尾メディックス,4,12,38,13,1,34.2,31.6,9,1,1,0,9,0,0,2,2,0,2,11.1,1.08,0.0,5.6,50.0
堀江美志,2020-12,埼玉上尾メディックス,4,2,6,2,0,33.3,33.3,0,0,0,0,3,0,1,0,0,0,0,,1.0,0.0,-8.3,
堀江美志,2021-01,埼玉上尾メディックス,4,2,4,2,0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,,1.0,0.0,,
堀江美志,2021-02,埼玉上尾メディックス,4,1,5,0,0,0.0,0.0,0,0,0,0,6,1,0,2,0,0,0,,0.0,0.0,25.0,
堀込奈央,2020-10,ヴィクトリーナ姫路,7,12,0,0,0,,,0,0,0,0,12,0,0,4,0,0,0,,0.0,0.0,8.3,
堀込奈央,2020-11,ヴィクトリーナ姫路,7,22,0,0,0,,,0,0,0,0,34,0,2,2,0,0,0,,0.0,0.0,0.0,
堀込奈央,2020-12,ヴィクトリーナ姫路,7,6,0,0,0,,,0,0,0,0,10,0,0,0,0,0,0,,0.0,0.0,0.0,
堀込奈央,2021-01,ヴィクトリーナ姫路,7,17,0,0,0,,,0,0,0,0,19,1,0,6,1,0,0,,0.0,0.0,13.2,0.0
堀込奈央,2021-02,ヴィクトリーナ姫路,7,5,0,0,0,,,0,0,0,0,5,0,0,4,0,0,0,,0.0,0.0,20.0,
塚田しおり,2020-10,NECレッドロケッツ,3,13,2,0,0,0.0,0.0,0,0,0,0,30,1,3,4,0,0,0,,0.0,0.0,4.2,
塚田しおり,2020-11,NECレッドロケッツ,3,16,2,2,0,100.0,100.0,0,0,0,1,49,0,1,15,3,0,0,,0.12,0.06,7.1,0.0
塚田しおり,2020-12,NECレッドロケッツ,3,4,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,,0.0,0.0,8.3,
塚田しおり,2021-01,NECレッドロケッツ,3,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
塚田しおり,2021-02,NECレッドロケッツ,3,1,0,0,0,,,0,0,0,1,2,0,0,0,1,0,0,,0.0,1.0,0.0,0.0
境紗里奈,2020-10,日立リヴァーレ,18,3,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,,0.0,0.0,0.0,
境紗里奈,2020-11,日立リヴァーレ,18,11,0,0,0,,,0,0,0,0,11,1,0,1,0,0,0,,0.0,0.0,11.4,
境紗里奈,2020-12,日立リヴァーレ,18,4,0,0,0,,,0,0,0,0,8,1,1,3,0,0,0,,0.0,0.0,18.8,
境紗里奈,2021-01,日立リヴァーレ,18,9,0,0,0,,,0,0,0,0,10,0,0,3,0,0,0,,0.0,0.0,7.5,
境紗里奈,2021-02,日立リヴァーレ,18,6,0,0,0,,,0,0,0,0,7,0,0,0,0,0,0,,0.0,0.0,0.0,
大元朱菜,2021-01,ヴィクトリーナ姫路,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
大室璃紗,2020-10,埼玉上尾メディックス,23,5,0,0,0,,,0,0,0,0,0,0,0,0,8,5,1,,0.0,0.0,,68.8
大室璃紗,2020-11,埼玉上尾メディックス,23,10,0,0,0,,,0,0,0,0,9,0,3,0,12,5,4,,0.0,0.0,-8.3,58.3
大室璃紗,2020-12,埼玉上尾メディックス,23,4,0,0,0,,,0,0,0,0,7,0,0,3,4,2,0,,0.0,0.0,10.7,50.0
大室璃紗,2021-01,埼玉上尾メディックス,23,7,0,0,0,,,0,0,0,0,7,0,0,1,6,3,2,,0.0,0.0,3.6,66.7
大室璃紗,2021-02,埼玉上尾メディックス,23,5,0,0,0,,,0,0,0,0,5,0,0,0,6,1,3,,0.0,0.0,0.0,41.7
大崎琴未,2020-10,東レアローズ,14,5,1,0,0,0.0,0.0,0,0,0,0,6,0,1,1,0,0,0,,0.0,0.0,0.0,
大崎琴未,2020-11,東レアローズ,14,8,1,0,0,0.0,0.0,0,0,0,0,10,0,0,1,0,0,0,,0.0,0.0,2.5,
大崎琴未,2020-12,東レアローズ,14,1,0,0,0,,,0,0,0,0,2,0,0,2,0,0,0,,0.0,0.0,25.0,
大崎琴未,2021-01,東レアローズ,14,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
大崎琴未,2021-02,東レアローズ,14,6,0,0,0,,,0,0,0,0,10,1,0,4,0,0,0,,0.0,0.0,20.0,
大竹里歩,2020-10,デンソーエアリービーズ,5,1,1,0,0,0.0,0.0,0,0,0,0,3,0,0,2,0,0,0,,0.0,0.0,16.7,
大竹里歩,2020-11,デンソーエアリービーズ,5,8,18,10,0,55.6,55.6,0,0,0,1,19,0,2,2,1,0,0,,1.25,0.12,0.0,0.0
大竹里歩,2020-12,デンソーエアリービーズ,5,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
大野果歩,2020-10,東レアローズ,2,12,37,20,4,54.1,43.2,0,0,0,5,42,1,4,6,0,0,0,,1.67,0.42,3.6,
大野果歩,2020-11,東レアローズ,2,28,76,33,4,43.4,38.2,0,0,0,12,106,1,5,21,5,1,0,,1.18,0.43,4.7,20.0
大野果歩,2020-12,東レアローズ,2,7,20,7,0,35.0,35.0,0,0,0,6,26,0,2,3,1,1,0,,1.0,0.86,1.0,100.0
大野果歩,2021-01,東レアローズ,2,12,31,13,2,41.9,35.5,0,0,0,5,33,2,2,3,2,2,0,,1.08,0.42,6.8,100.0
大野果歩,2021-02,東レアローズ,2,3,10,8,0,80.0,80.0,0,0,0,1,9,0,0,4,0,0,0,,2.67,0.33,11.1,
奥村麻依,2020-10,デンソーエアリービーズ,13,9,36,13,1,36.1,33.3,0,0,0,8,38,2,0,10,4,4,0,,1.44,0.89,11.8,100.0
奥村麻依,2020-11,デンソーエアリービーズ,13,31,131,46,1,35.1,34.4,0,0,0,25,106,1,4,19,4,1,2,,1.48,0.81,4.5,50.0
奥村麻依,2020-12,デンソーエアリービーズ,13,8,25,10,1,40.0,36.0,0,0,0,3,22,0,0,3,0,0,0,,1.25,0.38,3.4,
奥村麻依,2021-01,デンソーエアリービーズ,13,6,12,6,1,50.0,41.7,0,0,0,1,17,1,0,4,0,0,0,,1.0,0.17,11.8,
奥村麻依,2021-02,デンソーエアリービーズ,13,19,64,21,1,32.8,31.2,0,0,0,5,60,1,3,16,3,2,0,,1.11,0.26,7.1,66.7
孫田菜奈,2020-10,ヴィクトリーナ姫路,12,10,19,9,1,47.4,42.1,0,0,0,0,4,0,0,2,0,0,0,,0.9,0.0,12.5,
孫田菜奈,2020-11,ヴィクトリーナ姫路,12,21,40,13,1,32.5,30.0,0,0,0,1,24,3,4,6,2,0,1,,0.62,0.05,14.6,25.0
孫田菜奈,2020-12,ヴィクトリーナ姫路,12,4,11,4,1,36.4,27.3,0,0,0,0,1,0,0,0,0,0,0,,1.0,0.0,0.0,
孫田菜奈,2021-01,ヴィクトリーナ姫路,12,11,41,16,2,39.0,34.1,0,0,0,1,16,1,1,1,12,5,1,,1.45,0.09,6.2,45.8
孫田菜奈,2021-02,ヴィクトリーナ姫路,12,7,49,13,3,26.5,20.4,0,0,0,2,17,1,0,3,20,4,7,,1.86,0.29,10.3,37.5
宇賀神みずき,2020-10,岡山シーガルズ,5,10,1,0,0,0.0,0.0,0,0,0,0,18,1,0,4,0,0,0,,0.0,0.0,11.1,
宇賀神みずき,2020-11,岡山シーガルズ,5,16,3,1,0,33.3,33.3,0,0,0,1,33,2,2,3,2,0,0,,0.06,0.06,6.8,0.0
宇賀神みずき,2020-12,岡山シーガルズ,5,7,0,0,0,,,0,0,0,0,19,0,0,2,1,0,0,,0.0,0.0,2.6,0.0
宇賀神みずき,2021-01,岡山シーガルズ,5,10,3,2,0,66.7,66.7,1,1,0,1,15,0,0,5,0,0,0,100.0,0.2,0.1,8.3,
宇賀神みずき,2021-02,岡山シーガルズ,5,12,1,0,0,0.0,0.0,0,0,0,0,31,0,1,6,1,0,0,,0.0,0.0,4.0,0.0
安井由香子,2020-10,トヨタ車体クインシーズ,19,6,0,0,0,,,0,0,0,0,0,0,0,0,14,8,2,,0.0,0.0,,64.3
安井由香子,2020-11,トヨタ車体クインシーズ,19,20,0,0,0,,,0,0,0,0,0,0,0,0,65,37,15,,0.0,0.0,,68.5
安井由香子,2020-12,トヨタ車体クインシーズ,19,5,0,0,0,,,0,0,0,0,0,0,0,0,20,16,2,,0.0,0.0,,85.0
安井由香子,2021-01,トヨタ車体クインシーズ,19,8,0,0,0,,,0,0,0,0,0,0,0,0,33,17,6,,0.0,0.0,,60.6
安井由香子,2021-02,トヨタ車体クインシーズ,19,6,0,0,0,,,0,0,0,0,0,0,0,0,28,11,6,,0.0,0.0,,50.0
安田美南,2020-10,NECレッドロケッツ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
安田美南,2020-11,NECレッドロケッツ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮下遥,2020-10,岡山シーガルズ,14,11,4,2,0,50.0,50.0,0,0,0,2,40,1,3,5,1,0,0,,0.18,0.18,3.8,0.0
宮下遥,2020-11,岡山シーガルズ,14,25,5,2,1,40.0,20.0,0,0,0,7,85,0,2,13,0,0,0,,0.08,0.28,3.2,
宮下遥,2020-12,岡山シーガルズ,14,4,0,0,0,,,0,0,0,1,8,0,0,0,2,0,0,,0.0,0.25,0.0,0.0
宮下遥,2021-01,岡山シーガルズ,14,17,5,3,0,60.0,60.0,0,0,0,3,53,3,1,16,2,0,0,,0.18,0.18,12.7,0.0
宮下遥,2021-02,岡山シーガルズ,14,9,3,0,0,0.0,0.0,0,0,0,0,16,0,0,9,0,0,0,,0.0,0.0,14.1,
宮地佳乃,2020-10,ヴィクトリーナ姫路,8,3,25,3,3,12.0,0.0,2,0,1,0,3,0,1,0,0,0,0,0.0,1.0,0.0,-8.3,
宮地佳乃,2020-11,ヴィクトリーナ姫路,8,2,10,1,1,10.0,0.0,0,0,0,0,1,0,1,0,0,0,0,,0.5,0.0,-25.0,
宮地佳乃,2020-12,ヴィクトリーナ姫路,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮地佳乃,2021-01,ヴィクトリーナ姫路,8,6,11,2,0,18.2,18.2,1,0,0,1,2,0,1,1,0,0,0,0.0,0.33,0.17,0.0,
宮地佳乃,2021-02,ヴィクトリーナ姫路,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
小口樹葉,2020-10,デンソーエアリービーズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,2,2,0,,0.0,0.0,,100.0
小口樹葉,2020-11,デンソーエアリービーズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,2,1,1,,0.0,0.0,,75.0
小口樹葉,2020-12,デンソーエアリービーズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
小口樹葉,2021-02,デンソーエアリービーズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,2,1,0,,0.0,0.0,,50.0
小島満菜美,2020-10,NECレッドロケッツ,16,14,0,0,0,,,0,0,0,0,0,0,0,0,47,26,5,,0.0,0.0,,60.6
小島満菜美,2020-11,NECレッドロケッツ,16,25,0,0,0,,,0,0,0,0,0,0,0,0,118,48,32,,0.0,0.0,,54.2
小島満菜美,2020-12,NECレッドロケッツ,16,7,0,0,0,,,0,0,0,0,0,0,0,0,43,19,13,,0.0,0.0,,59.3
小島満菜美,2021-01,NECレッドロケッツ,16,17,0,0,0,,,0,0,0,0,0,0,0,0,92,38,33,,0.0,0.0,,59.2
小島満菜美,2021-02,NECレッドロケッツ,16,10,0,0,0,,,0,0,0,0,0,0,0,0,30,8,10,,0.0,0.0,,43.3
小島絢野,2020-10,久光スプリングス,24,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小島絢野,2020-11,久光スプリングス,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
小島絢野,2021-01,久光スプリングス,24,7,2,1,0,50.0,50.0,0,0,0,0,17,1,1,3,0,0,0,,0.14,0.0,8.8,
小島絢野,2021-02,久光スプリングス,24,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
小川愛里奈,2020-10,東レアローズ,8,4,15,6,0,40.0,40.0,0,0,0,0,8,0,0,4,2,1,1,,1.5,0.0,12.5,75.0
小川愛里奈,2020-11,東レアローズ,8,15,62,25,2,40.3,37.1,0,0,0,1,48,4,3,14,1,1,0,,1.67,0.07,14.1,100.0
小川愛里奈,2020-12,東レアローズ,8,4,13,8,0,61.5,61.5,0,0,0,1,11,0,2,3,0,0,0,,2.0,0.25,2.3,
小川愛里奈,2021-01,東レアローズ,8,11,35,13,2,37.1,31.4,0,0,0,10,28,1,1,6,0,0,0,,1.18,0.91,8.0,
小川愛里奈,2021-02,東レアローズ,8,10,48,28,1,58.3,56.2,0,0,0,4,28,1,1,11,0,0,0,,2.8,0.4,12.5,
小川杏奈,2020-10,JTマーヴェラス,3,12,30,11,3,36.7,26.7,1,1,0,4,52,3,1,18,2,0,0,100.0,0.92,0.33,13.9,0.0
小川杏奈,2020-11,JTマーヴェラス,3,17,42,25,2,59.5,54.8,0,0,0,7,55,2,4,17,1,0,1,,1.47,0.41,9.5,50.0
小幡真子,2020-10,JTマーヴェラス,15,14,0,0,0,,,0,0,0,0,0,0,0,0,57,35,9,,0.0,0.0,,69.3
小幡真子,2020-11,JTマーヴェラス,15,26,0,0,0,,,0,0,0,0,0,0,0,0,83,48,14,,0.0,0.0,,66.3
小幡真子,2020-12,JTマーヴェラス,15,6,0,0,0,,,0,0,0,0,0,0,0,0,23,14,1,,0.0,0.0,,63.0
小幡真子,2021-01,JTマーヴェラス,15,13,0,0,0,,,0,0,0,0,0,0,0,0,31,24,4,,0.0,0.0,,83.9
小幡真子,2021-02,JTマーヴェラス,15,14,0,0,0,,,0,0,0,0,0,0,0,0,47,27,5,,0.0,0.0,,62.8
小杉凜華,2020-10,KUROBEアクアフェアリーズ,19,12,41,7,1,17.1,14.6,0,0,0,4,38,1,1,9,3,1,0,,0.58,0.33,7.9,33.3
小杉凜華,2020-11,KUROBEアクアフェアリーズ,19,4,1,0,1,0.0,-100.0,0,0,0,0,4,0,0,2,0,0,0,,0.0,0.0,12.5,
