名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
長瀬そら,2021-02,岡山シーガルズ,26,8,42,13,1,31.0,28.6,0,0,0,5,11,0,0,4,1,0,1,,1.62,0.62,9.1,50.0
長野有紗,2020-10,ヴィクトリーナ姫路,5,10,37,10,1,27.0,24.3,0,0,0,2,30,0,3,12,2,2,0,,1.0,0.2,7.5,100.0
長野有紗,2020-11,ヴィクトリーナ姫路,5,23,93,36,4,38.7,34.4,0,0,0,7,71,1,10,20,4,0,2,,1.57,0.3,4.9,25.0
長野有紗,2020-12,ヴィクトリーナ姫路,5,4,14,4,2,28.6,14.3,0,0,0,2,12,0,3,4,0,0,0,,1.0,0.5,2.1,
長野有紗,2021-01,ヴィクトリーナ姫路,5,4,8,3,0,37.5,37.5,0,0,0,1,10,0,0,3,0,0,0,,0.75,0.25,7.5,
長野有紗,2021-02,ヴィクトリーナ姫路,5,2,3,1,0,33.3,33.3,0,0,0,1,4,0,0,0,1,1,0,,0.5,0.5,0.0,100.0
間橋香織,2020-10,KUROBEアクアフェアリーズ,3,18,156,61,9,39.1,33.3,3,0,1,10,46,0,6,14,94,43,30,0.0,3.39,0.56,4.3,61.7
間橋香織,2020-11,KUROBEアクアフェアリーズ,3,24,186,66,12,35.5,29.0,5,1,1,4,79,1,5,18,211,67,69,20.0,2.75,0.17,5.4,48.1
間橋香織,2020-12,KUROBEアクアフェアリーズ,3,8,52,19,4,36.5,28.8,0,0,0,0,20,0,3,4,59,13,20,,2.38,0.0,1.2,39.0
間橋香織,2021-01,KUROBEアクアフェアリーズ,3,14,110,39,9,35.5,27.3,4,2,1,5,35,0,5,13,118,42,39,50.0,2.79,0.36,5.7,52.1
関菜々巳,2020-10,東レアローズ,10,12,3,3,0,100.0,100.0,0,0,0,0,40,4,2,17,0,0,0,,0.25,0.0,19.4,
関菜々巳,2020-11,東レアローズ,10,28,11,8,0,72.7,72.7,0,0,0,0,89,5,3,26,1,0,0,,0.29,0.0,12.1,0.0
関菜々巳,2020-12,東レアローズ,10,7,0,0,0,,,0,0,0,0,14,0,2,4,1,0,1,,0.0,0.0,3.6,50.0
関菜々巳,2021-01,東レアローズ,10,14,1,1,0,100.0,100.0,0,0,0,2,55,4,0,20,1,0,0,,0.07,0.14,16.4,0.0
関菜々巳,2021-02,東レアローズ,10,10,7,1,0,14.3,14.3,1,0,0,1,38,3,0,11,0,0,0,0.0,0.1,0.1,15.1,
雑賀恵斗,2020-10,日立リヴァーレ,21,14,12,5,0,41.7,41.7,0,0,0,0,37,0,5,16,1,0,0,,0.36,0.0,7.4,0.0
雑賀恵斗,2020-11,日立リヴァーレ,21,18,12,3,0,25.0,25.0,0,0,0,3,40,0,8,15,1,0,0,,0.17,0.17,4.4,0.0
雑賀恵斗,2020-12,日立リヴァーレ,21,2,0,0,0,,,0,0,0,2,1,0,0,0,0,0,0,,0.0,1.0,0.0,
雑賀恵斗,2021-01,日立リヴァーレ,21,5,5,4,0,80.0,80.0,0,0,0,0,11,1,1,1,0,0,0,,0.8,0.0,9.1,
雑賀恵斗,2021-02,日立リヴァーレ,21,8,7,2,1,28.6,14.3,0,0,0,1,17,0,2,2,0,0,0,,0.25,0.12,0.0,
青柳京古,2020-10,埼玉上尾メディックス,11,16,80,26,2,32.5,30.0,0,0,0,2,52,2,2,11,2,0,1,,1.62,0.12,8.2,25.0
青柳京古,2020-11,埼玉上尾メディックス,11,21,100,40,3,40.0,37.0,1,0,0,8,84,4,6,20,7,2,0,0.0,1.9,0.38,8.9,28.6
青柳京古,2020-12,埼玉上尾メディックス,11,8,36,9,1,25.0,22.2,0,0,0,3,25,1,0,5,1,0,0,,1.12,0.38,9.0,0.0
青柳京古,2021-01,埼玉上尾メディックス,11,13,60,33,1,55.0,53.3,0,0,0,5,49,3,1,17,9,8,1,,2.54,0.38,14.3,94.4
青柳京古,2021-02,埼玉上尾メディックス,11,11,62,30,0,48.4,48.4,0,0,0,3,37,0,3,9,3,0,0,,2.73,0.27,4.1,0.0
馬場ゆりか,2020-10,KUROBEアクアフェアリーズ,4,7,0,0,0,,,0,0,0,0,0,0,0,0,25,12,6,,0.0,0.0,,60.0
馬場ゆりか,2020-11,KUROBEアクアフェアリーズ,4,7,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,,0.0,0.0,,33.3
馬場ゆりか,2020-12,KUROBEアクアフェアリーズ,4,4,0,0,0,,,0,0,0,0,0,0,0,0,3,2,1,,0.0,0.0,,83.3
馬場ゆりか,2021-01,KUROBEアクアフェアリーズ,4,16,0,0,0,,,0,0,0,0,0,0,0,0,47,27,14,,0.0,0.0,,72.3
馬場ゆりか,2021-02,KUROBEアクアフェアリーズ,4,7,0,0,0,,,0,0,0,0,0,0,0,0,26,12,6,,0.0,0.0,,57.7
高柳有里,2020-10,岡山シーガルズ,9,1,0,0,0,,,0,0,0,0,1,0,0,0,1,1,0,,0.0,0.0,0.0,100.0
高柳有里,2020-11,岡山シーガルズ,9,4,28,8,0,28.6,28.6,0,0,0,1,5,0,0,3,15,3,4,,2.0,0.25,15.0,33.3
高相みな実,2020-10,PFUブルーキャッツ,8,7,69,24,1,34.8,33.3,4,1,1,2,15,0,4,1,43,17,4,25.0,3.43,0.29,-5.0,44.2
高相みな実,2020-11,PFUブルーキャッツ,8,29,245,78,14,31.8,26.1,28,4,5,1,104,5,7,27,261,128,60,14.3,2.69,0.03,9.6,60.5
高相みな実,2020-12,PFUブルーキャッツ,8,6,43,13,3,30.2,23.3,4,1,0,0,22,1,2,3,55,24,12,25.0,2.17,0.0,5.7,54.5
高相みな実,2021-01,PFUブルーキャッツ,8,6,60,20,3,33.3,28.3,11,1,0,0,19,2,3,4,27,15,6,9.1,3.33,0.0,11.8,66.7
高相みな実,2021-02,PFUブルーキャッツ,8,2,7,0,0,0.0,0.0,0,0,0,0,5,1,0,3,5,2,0,,0.0,0.0,35.0,40.0
高野由里加,2020-10,岡山シーガルズ,21,5,11,2,0,18.2,18.2,0,0,0,0,12,0,0,3,0,0,0,,0.4,0.0,6.2,
高野由里加,2020-11,岡山シーガルズ,21,1,5,1,1,20.0,0.0,0,0,0,1,0,0,0,0,0,0,0,,1.0,1.0,,
高野由里加,2020-12,岡山シーガルズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
高野由里加,2021-01,岡山シーガルズ,21,5,11,2,1,18.2,9.1,0,0,0,1,11,0,0,3,0,0,0,,0.4,0.2,6.8,
鴫原ひなた,2020-10,トヨタ車体クインシーズ,1,6,51,12,4,23.5,15.7,2,0,0,1,15,1,1,6,16,8,3,0.0,2.0,0.17,15.0,59.4
鴫原ひなた,2020-11,トヨタ車体クインシーズ,1,23,188,59,16,31.4,22.9,3,0,1,3,65,2,7,25,140,65,34,0.0,2.57,0.13,10.0,58.6
鴫原ひなた,2020-12,トヨタ車体クインシーズ,1,6,48,18,1,37.5,35.4,2,0,0,1,17,2,1,6,35,13,12,0.0,3.0,0.17,19.1,54.3
鴫原ひなた,2021-01,トヨタ車体クインシーズ,1,15,89,29,9,32.6,22.5,3,1,1,2,40,2,4,18,69,29,17,33.3,1.93,0.13,13.8,54.3
鴫原ひなた,2021-02,トヨタ車体クインシーズ,1,9,59,19,4,32.2,25.4,4,2,1,1,26,2,2,10,80,44,12,50.0,2.11,0.11,15.4,62.5
黒後愛,2020-10,東レアローズ,9,12,115,47,4,40.9,37.4,13,3,4,5,25,0,8,8,60,24,20,23.1,3.92,0.42,0.0,56.7
黒後愛,2020-11,東レアローズ,9,28,223,94,9,42.2,38.1,19,4,0,6,90,7,5,26,168,77,39,21.1,3.36,0.21,13.6,57.4
黒後愛,2020-12,東レアローズ,9,7,46,22,0,47.8,47.8,5,2,0,2,19,0,4,7,52,20,18,40.0,3.14,0.29,3.9,55.8
黒後愛,2021-01,東レアローズ,9,17,153,66,5,43.1,39.9,19,7,2,5,70,5,10,16,100,56,17,36.8,3.88,0.29,9.3,64.5
黒後愛,2021-02,東レアローズ,9,7,63,23,4,36.5,30.2,10,0,2,3,24,1,3,5,63,21,25,0.0,3.29,0.43,6.2,53.2
齋藤加奈子,2020-10,日立リヴァーレ,7,3,0,0,0,,,0,0,0,0,0,0,0,0,7,2,2,,0.0,0.0,,42.9
齋藤加奈子,2020-11,日立リヴァーレ,7,21,0,0,0,,,0,0,0,0,7,0,0,1,56,33,12,,0.0,0.0,3.6,69.6
齋藤加奈子,2020-12,日立リヴァーレ,7,7,0,0,0,,,0,0,0,0,0,0,0,0,30,20,7,,0.0,0.0,,78.3
齋藤加奈子,2021-01,日立リヴァーレ,7,13,0,0,0,,,0,0,0,0,0,0,0,0,55,19,15,,0.0,0.0,,48.2
齋藤加奈子,2021-02,日立リヴァーレ,7,15,0,0,0,,,0,0,0,0,0,0,0,0,57,29,13,,0.0,0.0,,62.3
