名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
稲葉,6,2,0,33.3,33.3,0,0,0,0,4,0,0,0.0,4,0.0,,トヨタ車体クインシーズ
原,33,10,3,30.3,21.2,7,0,0,0,31,1,2,13.0,21,0.62,,トヨタ車体クインシーズ
大川,0,0,0,,,0,0,0,0,1,0,0,0.0,1,0.0,,トヨタ車体クインシーズ
水杉,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,東レアローズ
石川,327,121,24,37.0,29.7,17,0,0,0,357,18,41,139.0,195,0.71,,東レアローズ
黒後,235,91,10,38.7,34.5,20,0,0,0,254,14,33,105.0,152,0.69,,東レアローズ
大野,52,19,4,36.5,28.8,25,0,0,0,231,4,14,98.0,133,0.74,,東レアローズ
クラン,353,132,14,37.4,33.4,34,0,0,0,315,21,32,134.0,184,0.73,,東レアローズ
井上,24,11,0,45.8,45.8,19,0,0,0,128,6,14,51.0,80,0.64,,東レアローズ
白井,1,1,0,100.0,100.0,0,0,0,0,110,3,14,48.0,64,0.75,,東レアローズ
関,10,5,0,50.0,50.0,3,0,0,0,272,19,10,120.0,147,0.82,,東レアローズ
中田,23,6,0,26.1,26.1,2,0,0,0,38,1,1,22.0,27,0.81,,東レアローズ
大崎,0,0,0,,,0,0,0,0,29,1,1,13.0,19,0.68,,東レアローズ
野呂,26,9,1,34.6,30.8,1,0,0,0,34,1,1,15.0,19,0.79,,東レアローズ
小川,51,21,1,41.2,39.2,9,0,0,0,143,7,9,44.0,102,0.43,,東レアローズ
中島,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,東レアローズ
坂本,0,0,0,,,0,0,0,0,4,0,1,1.0,3,0.33,,東レアローズ
伊藤,0,0,0,,,0,0,0,0,7,1,1,2.0,5,0.4,,東レアローズ
井上(美),14,3,0,21.4,21.4,13,0,0,0,242,9,14,107.0,147,0.73,,久光スプリングス
井上(愛),228,71,6,31.1,28.5,22,0,0,0,256,8,19,93.0,159,0.58,,久光スプリングス
戸江,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,久光スプリングス
中川,68,23,4,33.8,27.9,8,0,0,0,125,3,5,45.0,77,0.58,,久光スプリングス
石井,278,90,16,32.4,26.6,9,0,0,0,237,10,17,84.0,147,0.57,,久光スプリングス
荒木,22,6,1,27.3,22.7,17,0,0,0,105,1,8,45.0,58,0.78,,久光スプリングス
濵松,17,9,3,52.9,35.3,3,0,0,0,46,1,6,18.0,25,0.72,,久光スプリングス
座安,0,0,0,,,0,0,0,0,1,0,0,0.0,1,0.0,,久光スプリングス
加藤,0,0,0,,,0,0,0,0,73,2,2,25.0,48,0.52,,久光スプリングス
栄,1,0,0,0.0,0.0,2,0,0,0,60,3,1,21.0,41,0.51,,久光スプリングス
野本,232,58,16,25.0,18.1,13,0,0,0,239,5,10,103.0,142,0.73,,久光スプリングス
岩坂,16,6,0,37.5,37.5,13,0,0,0,126,6,4,44.0,72,0.61,,久光スプリングス
長岡,42,20,1,47.6,45.2,2,0,0,0,45,0,6,13.0,32,0.41,,久光スプリングス
小島,2,1,0,50.0,50.0,0,0,0,0,25,2,2,13.0,14,0.93,,久光スプリングス
アキンラデウォ,90,49,5,54.4,48.9,48,0,0,0,233,15,21,83.0,153,0.54,,久光スプリングス
今村,55,13,7,23.6,10.9,6,0,0,0,61,3,7,26.0,35,0.74,,久光スプリングス
白澤,0,0,0,,,0,0,0,0,22,1,3,11.0,14,0.79,,久光スプリングス
池谷,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,久光スプリングス
平山,0,0,0,,,0,0,0,0,22,2,0,9.0,13,0.69,,久光スプリングス
小島,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,NECレッドロケッツ
曽我,152,57,7,37.5,32.9,6,0,0,0,187,3,15,68.0,120,0.57,,NECレッドロケッツ
山田,57,18,3,31.6,26.3,29,0,0,0,233,7,16,69.0,151,0.46,,NECレッドロケッツ
古賀,361,142,17,39.3,34.6,27,0,0,0,353,18,24,154.0,192,0.8,,NECレッドロケッツ
島村,97,50,2,51.5,49.5,16,0,0,0,182,6,5,71.0,113,0.63,,NECレッドロケッツ
廣瀬,37,15,3,40.5,32.4,5,0,0,0,42,3,6,23.0,20,1.15,,NECレッドロケッツ
澤田,3,2,0,66.7,66.7,4,0,0,0,232,4,9,96.0,134,0.72,,NECレッドロケッツ
塚田,2,1,0,50.0,50.0,1,0,0,0,84,1,4,32.0,52,0.62,,NECレッドロケッツ
山内,86,20,5,23.3,17.4,11,0,0,0,128,11,3,69.0,72,0.96,,NECレッドロケッツ
柳田,18,6,3,33.3,16.7,1,0,0,0,34,0,4,8.0,26,0.31,,NECレッドロケッツ
古谷,36,8,5,22.2,8.3,1,0,0,0,29,2,4,12.0,18,0.67,,NECレッドロケッツ
上野,37,17,2,45.9,40.5,5,0,0,0,123,5,16,47.0,75,0.63,,NECレッドロケッツ
ネリマン,295,91,17,30.8,25.1,19,0,0,0,228,12,9,94.0,137,0.69,,NECレッドロケッツ
野嶋,0,0,0,,,0,0,0,0,25,0,1,5.0,20,0.25,,NECレッドロケッツ
吉田,5,2,1,40.0,20.0,0,0,0,0,11,0,0,5.0,6,0.83,,NECレッドロケッツ
川上,0,0,0,,,0,0,0,0,30,0,0,15.0,17,0.88,,NECレッドロケッツ
オクム大庭,197,63,13,32.0,25.4,8,0,0,0,140,5,12,44.0,96,0.46,,日立リヴァーレ
長内,217,59,18,27.2,18.9,5,0,0,0,183,13,45,51.0,132,0.39,,日立リヴァーレ
窪田,51,17,5,33.3,23.5,4,0,0,0,164,10,9,62.0,107,0.58,,日立リヴァーレ
入澤,57,23,2,40.4,36.8,35,0,0,0,246,17,34,77.0,163,0.47,,日立リヴァーレ
タップ,118,54,7,45.8,39.8,34,0,0,0,215,9,20,72.0,143,0.5,,日立リヴァーレ
雑賀,14,5,1,35.7,28.6,4,0,0,0,107,1,17,24.0,83,0.29,,日立リヴァーレ
小池,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,日立リヴァーレ
佐藤,0,0,0,,,1,0,0,0,4,0,0,1.0,3,0.33,,日立リヴァーレ
野中,81,18,8,22.2,12.3,8,0,0,0,243,13,15,96.0,147,0.65,,日立リヴァーレ
上坂,295,89,16,30.2,24.7,10,0,0,0,315,16,9,136.0,178,0.76,,日立リヴァーレ
境,0,0,0,,,0,0,0,0,47,2,1,14.0,33,0.42,,日立リヴァーレ
齋藤,0,0,0,,,0,0,0,0,7,0,0,3.0,4,0.75,,日立リヴァーレ
小野寺,3,1,0,33.3,33.3,4,0,0,0,170,6,6,51.0,113,0.45,,日立リヴァーレ
堀井,4,0,0,0.0,0.0,2,0,0,0,38,0,3,13.0,29,0.45,,日立リヴァーレ
芳賀,5,1,1,20.0,0.0,4,0,0,0,35,1,1,14.0,23,0.61,,日立リヴァーレ
中村,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,日立リヴァーレ
舛田,259,72,15,27.8,22.0,7,0,0,0,304,11,43,110.0,191,0.58,,KUROBEアクアフェアリーズ
リー,316,105,26,33.2,25.0,18,0,0,0,209,12,21,57.0,152,0.38,,KUROBEアクアフェアリーズ
細沼,60,21,4,35.0,28.3,12,0,0,0,205,7,19,62.0,143,0.43,,KUROBEアクアフェアリーズ
立石,0,0,0,,,0,0,0,0,5,0,0,2.0,3,0.67,,KUROBEアクアフェアリーズ
間橋,144,49,14,34.0,24.3,12,0,0,0,180,1,19,51.0,129,0.4,,KUROBEアクアフェアリーズ
小杉,10,1,0,10.0,10.0,4,0,0,0,63,2,5,23.0,40,0.57,,KUROBEアクアフェアリーズ
小西,8,2,0,25.0,25.0,3,0,0,0,264,8,21,94.0,171,0.55,,KUROBEアクアフェアリーズ
丸山,2,1,0,50.0,50.0,0,0,0,0,69,0,10,17.0,52,0.33,,KUROBEアクアフェアリーズ
杉原,33,10,2,30.3,24.2,15,0,0,0,164,5,14,47.0,117,0.4,,KUROBEアクアフェアリーズ
梅津,24,6,1,25.0,20.8,1,0,0,0,39,0,1,14.0,25,0.56,,KUROBEアクアフェアリーズ
浮島,32,9,2,28.1,21.9,0,0,0,0,26,1,5,8.0,18,0.44,,KUROBEアクアフェアリーズ
星加,0,0,0,,,0,0,0,0,41,0,3,11.0,30,0.37,,KUROBEアクアフェアリーズ
馬場,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,KUROBEアクアフェアリーズ
戸部,0,0,0,,,0,0,0,0,1,0,0,0.0,1,0.0,,KUROBEアクアフェアリーズ
道下,28,6,2,21.4,14.3,4,0,0,0,85,4,5,27.0,60,0.45,,KUROBEアクアフェアリーズ
山城,13,1,0,7.7,7.7,3,0,0,0,48,2,2,18.0,30,0.6,,KUROBEアクアフェアリーズ
島田,0,0,0,,,0,0,0,0,5,1,0,2.0,3,0.67,,KUROBEアクアフェアリーズ
菊池,0,0,0,,,0,0,0,0,2,0,0,1.0,1,1.0,,KUROBEアクアフェアリーズ
堀口,113,38,2,33.6,31.9,4,0,0,0,148,9,29,52.0,96,0.54,,PFUブルーキャッツ
津賀,48,15,3,31.2,25.0,2,0,0,0,51,0,11,14.0,37,0.38,,PFUブルーキャッツ
高相,166,47,8,28.3,23.5,4,0,0,0,195,10,19,75.0,116,0.65,,PFUブルーキャッツ
瀬戸,5,0,0,0.0,0.0,3,0,0,0,27,1,6,8.0,19,0.42,,PFUブルーキャッツ
村上,72,29,3,40.3,36.1,9,0,0,0,202,7,6,71.0,135,0.53,,PFUブルーキャッツ
森田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,PFUブルーキャッツ
島畑,1,0,0,0.0,0.0,1,0,0,0,66,2,12,25.0,40,0.62,,PFUブルーキャッツ
和才,2,0,0,0.0,0.0,0,0,0,0,7,0,2,2.0,5,0.4,,PFUブルーキャッツ
山下,3,1,0,33.3,33.3,8,0,0,0,183,6,30,65.0,120,0.54,,PFUブルーキャッツ
合屋,25,9,2,36.0,28.0,0,0,0,0,14,0,5,3.0,11,0.27,,PFUブルーキャッツ
綿引,28,5,1,17.9,14.3,22,0,0,0,210,6,8,65.0,146,0.45,,PFUブルーキャッツ
石川,7,1,0,14.3,14.3,1,0,0,0,16,2,4,3.0,13,0.23,,PFUブルーキャッツ
有田,0,0,0,,,0,0,0,0,5,1,1,1.0,4,0.25,,PFUブルーキャッツ
アコスタ,253,78,18,30.8,23.7,7,0,0,0,203,8,25,65.0,136,0.48,,PFUブルーキャッツ
ジャラット,1,0,0,0.0,0.0,2,0,0,0,14,0,1,3.0,11,0.27,,PFUブルーキャッツ
志摩,43,19,0,44.2,44.2,3,0,0,0,64,0,5,24.0,40,0.6,,PFUブルーキャッツ
貞包,268,82,11,30.6,26.5,6,0,0,0,265,12,10,95.0,165,0.58,,ヴィクトリーナ姫路
宮地,8,0,0,0.0,0.0,0,0,0,0,6,0,3,0.0,6,0.0,,ヴィクトリーナ姫路
松本,232,82,14,35.3,29.3,11,0,0,0,259,16,21,99.0,159,0.62,,ヴィクトリーナ姫路
佐々木,55,21,6,38.2,27.3,9,0,0,0,228,12,24,81.0,153,0.53,,ヴィクトリーナ姫路
荒谷,91,34,2,37.4,35.2,23,0,0,0,273,12,25,89.0,187,0.48,,ヴィクトリーナ姫路
櫻井,4,2,0,50.0,50.0,2,0,0,0,254,4,15,83.0,168,0.49,,ヴィクトリーナ姫路
堀込,0,0,0,,,0,0,0,0,85,1,3,30.0,56,0.54,,ヴィクトリーナ姫路
田中,211,77,11,36.5,31.3,8,0,0,0,214,8,14,67.0,147,0.46,,ヴィクトリーナ姫路
花井,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,ヴィクトリーナ姫路
孫田,77,15,5,19.5,13.0,1,0,0,0,90,6,7,34.0,57,0.6,,ヴィクトリーナ姫路
金杉,132,40,7,30.3,25.0,3,0,0,0,111,2,14,39.0,71,0.55,,ヴィクトリーナ姫路
長野,28,7,2,25.0,17.9,10,0,0,0,140,1,20,44.0,95,0.46,,ヴィクトリーナ姫路
吉岡,1,0,0,0.0,0.0,0,0,0,0,2,0,1,0.0,2,0.0,,ヴィクトリーナ姫路
脇田,2,0,0,0.0,0.0,0,0,0,0,3,0,3,0.0,3,0.0,,ヴィクトリーナ姫路
アリョーナ,36,14,3,38.9,30.6,3,0,0,0,41,1,4,16.0,25,0.64,,ヴィクトリーナ姫路
溝口,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,ヴィクトリーナ姫路
福井,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,ヴィクトリーナ姫路
